keywords,frequency,total_score,avg_intensity,classification
버그/오류,169,-1523.1119735680609,3.834319526627219,Critical Issue
과금/경제,215,-1470.6419623894349,3.4790697674418603,Critical Issue
최적화/렉,97,-809.0936125947466,3.6288659793814433,Critical Issue
업데이트,129,-585.543865884471,3.3410852713178296,Critical Issue
버그,64,-557.2445037402916,3.71875,Critical Issue
현질 유도,60,-481.8798283095272,3.683333333333333,Critical Issue
접속 불가,29,-346.0422583297723,4.379310344827586,Critical Issue
업데이트 지연,51,-280.53205735015626,3.235294117647059,Critical Issue
무과금,30,-247.45636755460924,3.7666666666666666,Critical Issue
밸런스,29,-219.2182237929201,3.4482758620689653,Critical Issue
로딩,28,-215.28413771869717,3.5357142857142856,Critical Issue
로그인 오류,16,-182.15702951612118,4.3125,Critical Issue
광고,23,-163.51257019471998,3.260869565217391,Critical Issue
확률 조작,14,-162.62888955957027,4.357142857142857,Critical Issue
뽑기 확률,33,-153.00569785052616,3.727272727272727,Critical Issue
용량,27,-138.9435562105646,3.1481481481481484,Critical Issue
저장공간,19,-130.08140662759595,3.210526315789474,Critical Issue
불만,12,-126.75725930416382,4.0,User Sentiment (Emotion)
업데이트 오류,14,-119.12821670532179,3.642857142857143,Critical Issue
과금 유도,12,-118.26305634417393,4.0,Critical Issue
비스트,30,-109.9515885156654,3.066666666666667,Critical Issue
쿠키,23,-107.01475203299351,2.9565217391304346,Critical Issue
돈,10,-105.96825525772365,4.0,Critical Issue
운,24,-101.86266603399443,3.3333333333333335,Critical Issue
아레나,20,-94.54016800570561,3.9,Critical Issue
운빨,33,-91.38083543668951,3.515151515151515,Critical Issue
실행불가,6,-90.66075059758248,4.833333333333333,Critical Issue
뽑기 실패,12,-90.19877670125545,3.4166666666666665,Critical Issue
계정 날라감,9,-86.78133572110876,3.888888888888889,Critical Issue
업데이트 안됨,8,-86.29544285060729,4.125,Critical Issue
무과금 유저,10,-85.12547953235533,3.6,Critical Issue
신캐,9,-84.91942925622462,3.888888888888889,Critical Issue
과금유도,7,-84.71429678170412,4.285714285714286,Critical Issue
검은 화면,8,-83.49155744577257,4.125,Critical Issue
난이도,11,-82.95413430922335,3.5454545454545454,Critical Issue
어려움,14,-82.137456916149,3.2857142857142856,Critical Issue
에픽,10,-80.60872137800669,3.5,Critical Issue
